"WEALTHQHH","YEAR","COUNTRY"
2,2008,288
2,2008,288
2,2008,288
2,2008,288
2,2008,288
2,2008,288
2,2008,288
2,2008,288
3,2008,288
3,2008,288
3,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
2,2008,288
2,2008,288
3,2008,288
2,2008,288
2,2008,288
4,2008,288
2,2008,288
2,2008,288
2,2008,288
2,2008,288
2,2008,288
2,2008,288
2,2008,288
2,2008,288
2,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
3,2008,288
3,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
2,2008,288
2,2008,288
2,2008,288
2,2008,288
2,2008,288
2,2008,288
2,2008,288
2,2008,288
1,2008,288
1,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
5,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
3,2008,288
3,2008,288
5,2008,288
3,2008,288
3,2008,288
3,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
3,2008,288
3,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
3,2008,288
3,2008,288
3,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
4,2008,288
3,2008,288
3,2008,288
4,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
3,2008,288
3,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
3,2008,288
3,2008,288
3,2008,288
3,2008,288
5,2008,288
5,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
3,2008,288
3,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
3,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
4,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
5,2008,288
