"DHSID","DHSCC","DHSYEAR","DHSCLUST","CCFIPS","ADM1FIPS","ADM1FIPSNA","ADM1SALBNA","ADM1SALBCO","ADM1DHS","ADM1NAME","DHSREGCO","DHSREGNA","SOURCE","URBAN_RURA","LATNUM","LONGNUM","ALT_GPS","ALT_DEM","DATUM","area","WEALTHQHH","geometry"
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,4,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,4,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,4,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,4,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,4,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
"GH201400000083","GH",2014,83,"GH","GH01","Greater Accra","GHA005","Greater Accra",3,"Greater Accra",3,"Greater Accra","GPS","U",5.578471,-0.211581,14,11,"WGS84",0,5,c(1186432.9705236, 329893.480743705)
